pageid	primary_platform	platforms
983972	pc game	pc,windows
984290	nintendo wii	nintendo entertainment system,super nintendo entertainment system,game boy color,mobile phone,wii,android (operating system),ios
986321	sega saturn	macintosh,ms-dos,playstation,sega saturn,microsoft windows
988693	apple ii	trs-80,commodore pet,apple ii,atari 8-bit family,ibm pc,vic-20,commodore 64,atari st,amiga,macintosh,amstrad cpc
990055	sega dreamcast	dreamcast,microsoft windows,playstation 2,ios
990754	microsoft windows	microsoft windows
990928	nintendo wii	super nintendo entertainment system,virtual console
990931	super nintendo entertainment system	super nintendo entertainment system
990938	sega saturn	arcade game,sega saturn
991833	pc game	microsoft windows,cloud computing,onlive
992726	apple macintosh	microsoft windows,apple macintosh
993193		
994292	arcade game	arcade game,nintendo entertainment system
994533	microsoft windows	windows
994915	ms-dos	dos,amiga,mac os
995534	nintendo gamecube	gamecube,playstation 2
999864	apple ii	amiga,apple ii family,atari st,commodore 128,ms-dos,apple macintosh
999906	nintendo gamecube	gamecube,playstation 2,xbox (console)
999965	playstation 3	playstation 2,playstation 3,xbox 360
1001410	arcade game	arcade game
1002350	pc game	microsoft windows,personal computer,toshiba,wikipedia:citation needed,this claim needs references to reliable sources. (june 2009)
1003069	commodore 64	arcade game,commodore 64,dos,mobile phone,sord m5
1004301	ms-dos	ms-dos
1005198	sega mega drive/genesis	arcade game,nintendo entertainment system,game boy,sega genesis,amiga,ios,android (operating system)
1008445	nintendo gamecube	nintendo gamecube
1009633	qbasic	qbasic,commodore vic20 (page does not exist),commodore 64/128 (page does not exist)
1010890	microsoft windows	microsoft windows
1011342	sega saturn	arcade game,nintendo entertainment system,playstation,sega saturn,porting
1012392	nintendo gamecube	adobe flash,playstation 2,gamecube,xbox (console),mobile phone,gizmondo,game boy advance,xbox live arcade,ios
1012630	microsoft windows	microsoft windows
1013877	zx spectrum	zx spectrum,commodore 64
1014007	super nintendo entertainment system	super nintendo entertainment system
1014599	nintendo gamecube	playstation 2,gamecube,xbox (console),microsoft windows,playstation 3,ios (apple),playstation portable
1015657	playstation 3	microsoft windows,os x,playstation 3,xbox 360
1016371	zx spectrum	amstrad cpc,atari 8-bit,atari st,bbc micro,commodore 64,dos,msx,zx spectrum,tatung einstein
1016484	nintendo 64	arcade game,nintendo 64,game boy color
1017834	playstation	ms-dos,nec pc-9801,fm towns,playstation (console),android (operating system),ios
1018155	playstation 3	playstation (console),playstation 3,playstation portable,playstation vita
1018365	playstation 2	playstation 2,xbox (console)
1018704	game boy advance	game boy advance
1019344	playstation 2	playstation 2,mobile phone
1020817	zx spectrum	arcade game,turbografx-16,turbografx-16,amstrad cpc,atari st,amiga,commodore 64,dos,zx spectrum
1022715	vectrex	arcade game,vectrex
1025498	playstation 3	playstation 2,playstation 3,playstation vita
1025523	nintendo gamecube	nintendo gamecube
1025819	sega mega drive/genesis	arcade game,amiga,amstrad cpc,atari st,commodore 64,dos,sega genesis,master system,mega drive,sharp x68000,turbografx cd,virtual console,wii,zx spectrum
1026516	arcade game	arcade game,mr. driller
1026897	sega saturn	arcade game,sega saturn,dos,playstation (console)
1027851	apple ii	arcade game,apple ii,atari 5200,atari 8-bit family,atari 2600,colecovision,intellivision,ti-99/4a,vic-20,commodore 64,pc booter,sg-1000
1029780	playstation	arcade game,playstation (console)
1030025	atari 2600	arcade game,atari 2600,commodore 64,msx
1030730	arcade game	arcade game,playstation network,xbox live arcade,ios,android (operating system)
1031299	wii u	msx,wii u,virtual console
1031547	playstation	playstation (console),playstation network
1032459	arcade game	arcade game
1032686	xbox	xbox (console)
1033269		
1033399	commodore 64	arcade game,commodore 64,ms-dos
1033500	zx spectrum	arcade game,nintendo entertainment system,sega master system,zx spectrum,msx,commodore 64,amstrad cpc,amiga,atari st,dos,fm towns
1037570	nintendo 3ds	game boy advance,virtual console,nintendo 3ds,wii u
1037598	ms-dos	dos
1038007	microsoft windows	microsoft windows
1038195	atari 2600	atari 2600
1038802	nintendo 64	arcade game,master system,nes,atari lynx,amstrad cpc,zx spectrum,commodore 64,amiga,atari st,atari 2600,atari 7800,ibm pc,nintendo 64,dreamcast,gamecube,xbox (console),playstation 2,game boy color
1040538	atari 2600	atari 2600
1040595	microsoft windows	microsoft windows
1041888	commodore amiga	amiga
1041909	xbox 360	xbox (console),microsoft windows,xbox 360,os x,ios,android (operating system)
1042993	playstation 3	microsoft windows,playstation 3,xbox 360
1043974	ms-dos	ms-dos,macintosh,windows 3.1x
1044137	zx spectrum	amstrad cpc,commodore 64,zx spectrum,amiga,atari st,dos,thomson mo5
1046014	cross-platform	cross-platform
1046187	nintendo entertainment system	nintendo entertainment system
1046875	commodore 64	commodore 64,fm towns,microsoft windows
1047175	nintendo entertainment system	nintendo entertainment system
1047184	nintendo entertainment system	nintendo entertainment system
1047196	sega game gear	arcade game,nintendo entertainment system,msx,turbografx-16,sega game gear,sega master system,sega saturn,x68000
1047218	zx spectrum	arcade game,nintendo entertainment system,atari 2600,intellivision,atari 7800,bbc micro,acorn electron,amiga,atari st,zx spectrum,msx,amstrad cpc,commodore 64,virtual console,playstation 3,xbox 360
1047513	playstation 2	xbox (console),microsoft windows,playstation 2,playstation network,mobile phone
1048232	sega dreamcast	arcade game,dreamcast,playstation 2,game boy advance,xbox (console),ios
1048304	ms-dos	windows 95,ms-dos,macintosh
1049037	nintendo gamecube	playstation 2,xbox (console),gamecube,microsoft windows,game boy advance
1049208	nintendo 64	nintendo 64,playstation (console),sega saturn,ms-dos,microsoft windows,game.com,r-zone
1049273	sega mega drive/genesis	arcade game,sega game gear,master system,sega genesis,super nintendo entertainment system,game boy,amiga,dos,sega 32x,sega saturn,playstation (console),playstation 3,xbox 360,windows
1049761	sega mega drive/genesis	nintendo entertainment system,sega mega drive,game boy,ms-dos
1049775	turbografx	nintendo entertainment system,turbografx-16
1050479	playstation 2	playstation 2,xbox (console),microsoft windows
1051629	nintendo entertainment system nes	nes,msx
1053515	microsoft windows	microsoft windows
1053652	playstation	playstation (console),arcade game
1053973	commodore 64	arcade game,amiga,super nintendo entertainment system,commodore 64
1054083	ms-dos	amiga,ms-dos
1055132	microsoft windows	microsoft windows
1055604	commodore 64	arcade game,bally astrocade,atari 8-bit family,commodore 64,commodore 128
1055898	atari 2600	atari 2600,atari 8-bit family,vic-20,commodore 64,intellivision,magnavox odyssey,pc booter,texas instruments ti-99/4a,trs-80
1056666	ms-dos	ms-dos
1057684	nintendo entertainment system	nintendo entertainment system
1058067	sega dreamcast	dreamcast,java platform, micro edition,game boy advance,microsoft windows,playstation network,xbox live arcade,playstation vita,ios,android (operating system)
1058435	sega mega drive/genesis	sega mega drive,game gear
1060587	mainframe game	multics,general comprehensive operating system,pdp-7
1060665	playstation 2	playstation 2
1061636	mac os x	microsoft windows,macintosh
1063974	zx spectrum	ibm pc compatible,commodore 64,zx spectrum,amstrad cpc,atari st,apple ii,amiga,nintendo entertainment system
1064371	plato network game	plato system
1065205	playstation 2	playstation 2,playstation portable
1066808	nintendo gamecube	gamecube
1068017	ms-dos	amiga,mac os,os x,dos,linux,microsoft windows,pocket pc,scummvm
1071211	apple macintosh	mac os
1073354	ms-dos	amiga,atari st,dos
1073552	nintendo ds	nintendo ds,virtual console,wii u
1073568	nintendo gamecube	nintendo gamecube
1075187	apple ii	apple ii,apple iigs,apple macintosh,atari st,ibm pc,commodore 128
1075401	ms-dos	personal computer,dos
1080428	microsoft windows	microsoft windows
1081139	mac os x	macintosh,windows
1081431	microsoft windows	microsoft windows,windows 98,windows me,windows 2000,windows xp
1082759	playstation 2	playstation,playstation 2,playstation portable
1083133	playstation	playstation (console)
1083183	nintendo ds	nintendo ds
1083993	playstation 2	playstation 2,xbox (console),xbox 360
1085069		
1085160	apple ii	apple ii family,atari
1085317	mac os x	microsoft windows,mac os x
1085487	microsoft windows	microsoft windows
1086626	nintendo 3ds	game boy advance,nintendo 3ds,nintendo wiiu
1087198	nintendo gamecube	playstation 2,xbox (console),gamecube,playstation network eu (page does not exist)
1088412	ios game	os x,microsoft windows,ios
1088639	nintendo game boy	nintendo entertainment system,game boy
1088763	nintendo 3ds	apple macintosh,apple iigs,atari st,commodore amiga,dos,nintendo entertainment system,windows,game boy color,mobile phone,palm os,pocket pc,nintendo 3ds,virtual console
1088962		
1089040	nintendo ds	nintendo ds
1089349	arcade game	arcade game,nintendo entertainment system,playchoice-10
1089535	ms-dos	dos,fm towns,pc-98
1090079	nintendo gamecube	playstation 2,xbox (console),gamecube,playstation portable
1091197	arcade game	arcade game,super nintendo entertainment system
1091202	sega mega drive/genesis	sega genesis
1092405	playstation 2	playstation 2
1093029	game boy advance	game boy advance
1095597	electronic delay storage automatic calculator	electronic delay storage automatic calculator
1098784	playstation 2	game boy advance,playstation 2
1099461	nintendo ds	super nintendo entertainment system,nintendo ds,android (operating system),ios
1099463	playstation 2	microsoft windows,playstation 2,xbox (console)
1101576	nintendo game boy	amiga,atari falcon,dos,game boy,game boy advance,game gear,gp32,ios,os x,playstation network,super nintendo entertainment system
1102819	xbox 360	microsoft windows,linux,mac os x,xbox 360
1103877	zx spectrum	sinclair zx81
1105403	sega mega drive/genesis	arcade game,super nintendo entertainment system,sega mega drive,personal computer,sega saturn,playstation (console)
1106271	nintendo gamecube	xbox (console),microsoft windows,game boy advance,mobile phone,playstation 2,gamecube,playstation 3
1106384	nintendo 3ds	mobile phone,n-gage (device),microsoft windows,playstation 2,xbox (console),gamecube,nintendo ds,nintendo 3ds,playstation 3
1107877	super nintendo entertainment system	super nintendo entertainment system
1108096	sega saturn	arcade game,sega saturn,xbox (console),taito legends 2,microsoft windows,playstation 2,taito memories
1108659	nintendo wii	game boy advance,virtual console
1108924	xbox	microsoft windows,linux,xbox (console)
1109483	nintendo gamecube	gamecube,wii
1110048	sega mega drive/genesis	sega genesis
1110102	nintendo gamecube	gamecube
1110158	sega mega drive/genesis	sega mega drive,sega genesis,sega game gear
1110338	sega mega drive/genesis	sega genesis
1112669	sega mega drive/genesis	sega genesis
1114802	ms-dos	ibm pc compatible,dos,microsoft windows
1115443	nintendo wii	playstation 2,wii,playstation portable,microsoft windows
1115648	nintendo 64	nintendo 64
1115689		
1118175	commodore amiga	amiga,amiga cd32
1118309	nintendo gamecube	gamecube,playstation 2,xbox (console)
1118319	microsoft windows	microsoft windows
1118645	zx spectrum	zx spectrum,commodore 64,amstrad cpc,atari st,commodore amiga,apple ii,nec pc-9801,pc-8801
1119794	playstation	playstation (console)
1120399	pc game	imlac pds-1,macintosh,next computer,palm os,xerox star,x window system
1120962	wii u	game boy advance,wii u,virtual console
1125528	atari 2600	atari 2600
1125657	playstation 2	playstation 2
1125766	nintendo gamecube	playstation 2,gamecube,xbox (console)
1126467	zx spectrum	atari 8-bit family,commodore 64,zx spectrum,amstrad cpc,atari st,amiga,commodore 16,commodore plus/4
1127017	pc game	microsoft windows,mac os x,cloud computing,onlive
1127169	nintendo ds	playstation 2,dreamcast,gamecube,xbox (console),mac os,game boy advance,microsoft windows,mac os x,pocket pc,playstation portable,nintendo ds,arcade game,xbox 360,sony walkman
1127824	nintendo gamecube	gamecube,wii,wii u
1128541	ms-dos	ms-dos,microsoft windows,ios (apple)
1132660	sega saturn	super nintendo entertainment system,sega saturn,playstation (console)
1132936	nintendo gamecube	gamecube,microsoft windows,mac os x
1133333	nintendo gamecube	nintendo gamecube
1134074	sega mega drive/genesis	sega mega drive,super nintendo entertainment system,game boy,amiga,amiga cd32,ibm pc compatible,atari jaguar,lynx (console),atari falcon,nintendo ds
1135092	game boy advance	game boy advance
1135654		
1137103	sega mega cd	sega cd
1137904	nintendo 3ds	nintendo ds,virtual console,nintendo wii u,nintendo 3ds
1137963	playstation 2	playstation 2,xbox (console),microsoft windows
1137966	microsoft windows	microsoft windows,os x
1138363	nintendo gamecube	microsoft windows,playstation 2,xbox,gamecube,game boy advance
1143910	nintendo gamecube	playstation 2,gamecube,xbox (console)
1144890	nintendo gamecube	gamecube,playstation 2,xbox (console)
1144991	sega mega drive/genesis	arcade game,sega genesis,sega 32x,sega saturn
1145989		
1147871	sega dreamcast	arcade game,dreamcast
1148045	apple macintosh	android (operating system),microsoft windows,mac os,os x,linux
1148951	playstation 2	playstation 2,xbox (console),microsoft windows,ios,os x,linux,playbook,android (operating system),ouya
